task_num,task_name,trial_type,trial_num,terminalfeedback_bool,targetangle_deg,targetdistance_percmax,homex_px,homey_px,targetx_px,targety_px,time_s,mousex_px,mousey_px,cursorx_px,cursory_px
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.00173091888428,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.00677704811096,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.00929307937622,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0266349315643,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0435259342194,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0596840381622,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0769419670105,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0931479930878,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.11014008522,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.126892089844,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.143377065659,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.160197973251,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.176737070084,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.19312286377,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.209836006165,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.226814031601,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.243607997894,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.260241985321,-44,231,-44,231
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.276669025421,-44,231,-44,231
